"Грэм Б.: Разумный инвестор: Полное руководство по стоимостному инвестированию","10300","100","1"," Деловая литература"," Альпина Паблишер"," 12+","2017"," Русский"
"Матвеев С. А.: Нумерология! Большой понятный самоучитель. Всё подробно и по полочкам","1940","20","1"," Эзотерика"," АСТ"," 16+"," 2019"," Русский"
"Банцхаф Х., Телер Б.: Таро любви (брошюра + 78 карт)","7990","0","0"," Эзотерика"," Весь"," 16+"," 2019"," Русский"
"Бронте Ш.: Джейн Эйр (Эксклюзивная классика)","2850","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2019"," Русский"
"Хермэн Д.: Аргумент в пользу креативности","2990","0","0"," Бизнес образование"," Meloman Publishing"," 16+"," 2019"," Русский"
"Кинг С.: Стивен Кинг идет в кино. Темная башня","3220","0","0"," фантастика"," АСТ"," 16+"," 2019"," Русский"
"Ибука М.: После трех уже поздно (Год издания: 2019)","4400","100","1"," Психология практическая"," Альпина Паблишер"," 0+"," 2019"," Русский"
"Аристотель: Риторика. Поэтика (Эксклюзивная классика)","1150","0","0"," Философия"," Neoclassic"," 12+"," 2018"," Русский"
"Калгин В.: Виктор Цой. Подлинные черновики. Песни, рукописи, рисунки. Памятный альбом","5450","0","0"," Культура, искусство"," АСТ"," 12+"," 2018"," Русский"
"Матвеев С. А.: Хиромантия. Большая книга чтения по ладони","1460","100","1"," Эзотерика"," АСТ"," 16+",,
"Судзуки Д.: Японский театр кабуки, Раскраски-антистресс для взрослых","1790","0","0"," Дом, быт, досуг",," 12+"," 2020"," Русский"
"Sonic. Заражение. Комикс. Том 4 (перевод от Diamond Dust и Сыендука)","3050","0","0"," Комиксы детские"," Эксмо"," 12+"," 2020"," Русский"
"Блейк Д.: Everyday Witch Tarot. Повседневное Таро ведьмы (78 карт и руководство в подарочном футляре)","11800","0","0"," Эзотерика"," Эксмо"," 16+"," 2019"," Русский"
"Кинг С.: Калейдоскоп ужасов","3250","100","1"," Комиксы, графические романы"," АСТ"," 18+"," 2020"," Русский"
"Макки Роберт: Диалог: Искусство слова для писателей, сценаристов и драматургов","2950","0","0"," Культура, искусство"," Альпина Паблишер"," 12+"," 2019"," Русский"
"Кавашима Р.: Память. Упражнения и задания по японской системе развития мозга","3890","0","0"," Психология практическая"," Питер-Трейд"," 16+"," 2019"," Русский"
"Розенталь Д. Э.: Русский язык на отлично. Правила и упражнения","2450","0","0"," Иностранные языки"," АСТ"," 6+"," 2019"," Русский"
"МакЭвой Дж. П., Зарате О.: Хокинг в комиксах","2750","0","0"," Научно-популярная литература"," Бомбора"," 12+"," 2019"," Русский"
"Кван К.: Безумно богатая китайская девушка.  Джоджо Мойес","3520","80","1"," Современная мировая проза"," Иностранка"," 16+"," 2019"," Русский"
"Асиман А.: Энигма-вариации","3830","100","1"," Современная мировая проза"," Popcorn Books"," 18+"," 2019"," Русский"
"Иллиес Ф.: 1913. Лето целого века","4390","0","0"," Культура, искусство"," Ад Маргинем"," 16+"," 2020"," Русский"
"Аззарелло Б.: Бэтмен Проклятый","6550","0","0"," Комиксы, графические романы"," Азбука"," 16+"," 2020"," Русский"
"Дидье Э., Мэллер О.: Эмиль и Марго. Монстрам вход запрещен! Твердый переплет","4150","0","0"," Комиксы детские"," МИиФ"," 6+"," 2020"," Русский"
